loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,1,1735.129,0.000,0,1735.129
'',00:00:10,0,0,0.000,0.000,0,0.000
'',00:00:15,0,1,306.126,0.012,0,306.126
'',00:00:20,0,0,0.000,0.000,0,0.000
'',00:00:25,0,0,0.000,0.000,0,0.000
'',00:00:30,0,0,0.000,0.000,0,0.000
'',00:00:35,0,0,0.000,0.000,0,0.000
'',00:00:40,0,0,0.000,0.000,0,0.000
'',00:00:45,0,0,0.000,0.000,0,0.000
'',00:00:50,0,0,0.000,0.000,0,0.000
'',00:00:55,0,0,0.000,0.000,0,0.000
'',00:01:00,0,0,0.000,0.000,0,0.000
'',00:01:05,0,0,0.000,0.000,0,0.000
'',00:01:10,0,0,0.000,0.000,0,0.000
'',00:01:15,0,0,0.000,0.000,0,0.000
'',00:01:20,0,0,0.000,0.000,0,0.000
'',00:01:25,0,0,0.000,0.000,0,0.000
'',00:01:30,0,0,0.000,0.000,0,0.000
'',00:01:35,0,0,0.000,0.000,0,0.000
'',00:01:40,0,0,0.000,0.000,0,0.000
'',00:01:45,0,0,0.000,0.000,0,0.000
'',00:01:50,0,0,0.000,0.000,0,0.000
'',00:01:55,0,0,0.000,0.000,0,0.000
'',00:02:00,0,0,0.000,0.000,0,0.000
'',00:02:05,0,0,0.000,0.000,0,0.000
'',00:02:10,0,0,0.000,0.000,0,0.000
'',00:02:15,0,0,0.000,0.000,0,0.000
'',00:02:20,0,0,0.000,0.000,0,0.000
'',00:02:25,0,0,0.000,0.000,0,0.000
'',00:02:30,0,0,0.000,0.000,0,0.000
'',00:02:35,0,0,0.000,0.000,0,0.000
'',00:02:40,0,0,0.000,0.000,0,0.000
'',00:02:45,0,0,0.000,0.000,0,0.000
'',00:02:50,0,0,0.000,0.000,0,0.000
'',00:02:55,0,0,0.000,0.000,0,0.000
'',00:03:00,0,0,0.000,0.000,0,0.000
'',00:03:05,0,0,0.000,0.000,0,0.000
'',00:03:10,0,0,0.000,0.000,0,0.000
'',00:03:15,0,0,0.000,0.000,0,0.000
'',00:03:20,0,0,0.000,0.000,0,0.000
'',00:03:25,0,0,0.000,0.000,0,0.000
'',00:03:30,0,0,0.000,0.000,0,0.000
'',00:03:35,0,0,0.000,0.000,0,0.000
'',00:03:40,0,0,0.000,0.000,0,0.000
'',00:03:45,0,0,0.000,0.000,0,0.000
'',00:03:50,0,0,0.000,0.000,0,0.000
'',00:03:55,0,0,0.000,0.000,0,0.000
'',00:04:00,0,0,0.000,0.000,0,0.000
'',00:04:05,0,0,0.000,0.000,0,0.000
'',00:04:10,0,0,0.000,0.000,0,0.000
'',00:04:15,0,0,0.000,0.000,0,0.000
'',00:04:20,0,0,0.000,0.000,0,0.000
'',00:04:25,0,0,0.000,0.000,0,0.000
'',00:04:30,0,0,0.000,0.000,0,0.000
'',00:04:35,0,0,0.000,0.000,0,0.000
'',00:04:40,0,0,0.000,0.000,0,0.000
'',00:04:45,0,0,0.000,0.000,0,0.000
'',00:04:50,0,0,0.000,0.000,0,0.000
'',00:04:55,0,0,0.000,0.000,0,0.000
'',00:05:00,0,1,278915.010,0.000,1,278915.010
'',00:05:05,0,0,0.000,0.000,0,0.000
'',00:05:10,0,0,0.000,0.000,0,0.000
'',00:05:15,0,0,0.000,0.000,0,0.000
'',00:05:20,0,0,0.000,0.000,0,0.000
'',00:05:25,0,0,0.000,0.000,0,0.000
'',00:05:30,0,0,0.000,0.000,0,0.000
'',00:05:35,0,0,0.000,0.000,0,0.000
'',00:05:40,0,0,0.000,0.000,0,0.000
'',00:05:45,0,0,0.000,0.000,0,0.000
'',00:05:50,0,0,0.000,0.000,0,0.000
'',00:05:55,0,0,0.000,0.000,0,0.000
'',00:06:00,0,0,0.000,0.000,0,0.000
'',00:06:05,0,0,0.000,0.000,0,0.000
'',00:06:10,0,0,0.000,0.000,0,0.000
'',00:06:15,0,0,0.000,0.000,0,0.000
'',00:06:20,0,0,0.000,0.000,0,0.000
'',00:06:25,0,0,0.000,0.000,0,0.000
'',00:06:30,0,0,0.000,0.000,0,0.000
'',00:06:35,0,0,0.000,0.000,0,0.000
'',00:06:40,0,0,0.000,0.000,0,0.000
'',00:06:45,0,0,0.000,0.000,0,0.000
'',00:06:50,0,0,0.000,0.000,0,0.000
'',00:06:55,0,0,0.000,0.000,0,0.000
'',00:07:00,0,0,0.000,0.000,0,0.000
'',00:07:05,0,0,0.000,0.000,0,0.000
'',00:07:10,0,0,0.000,0.000,0,0.000
'',00:07:15,0,0,0.000,0.000,0,0.000
'',00:07:20,0,0,0.000,0.000,0,0.000
'',00:07:25,0,0,0.000,0.000,0,0.000
'',00:07:30,0,0,0.000,0.000,0,0.000
'',00:07:35,0,0,0.000,0.000,0,0.000
'',00:07:40,0,0,0.000,0.000,0,0.000
'',00:07:45,0,0,0.000,0.000,0,0.000
'',00:07:50,0,0,0.000,0.000,0,0.000
'',00:07:55,0,0,0.000,0.000,0,0.000
'',00:08:00,0,0,0.000,0.000,0,0.000
'',00:08:05,0,0,0.000,0.000,0,0.000
'',00:08:10,0,0,0.000,0.000,0,0.000
'',00:08:15,0,0,0.000,0.000,0,0.000
'',00:08:20,0,0,0.000,0.000,0,0.000
'',00:08:25,0,0,0.000,0.000,0,0.000
'',00:08:30,0,0,0.000,0.000,0,0.000
'',00:08:35,0,0,0.000,0.000,0,0.000
'',00:08:40,0,0,0.000,0.000,0,0.000
'',00:08:45,0,0,0.000,0.000,0,0.000
'',00:08:50,0,0,0.000,0.000,0,0.000
'',00:08:55,0,0,0.000,0.000,0,0.000
'',00:09:00,0,0,0.000,0.000,0,0.000
'',00:09:05,0,0,0.000,0.000,0,0.000
'',00:09:10,0,0,0.000,0.000,0,0.000
'',00:09:15,0,0,0.000,0.000,0,0.000
'',00:09:20,0,0,0.000,0.000,0,0.000
'',00:09:25,0,0,0.000,0.000,0,0.000
'',00:09:28,0,0,0.000,0.000,0,0.000
